"Level","Silver","Gold","Exp","Honor","Items"
"1","40","0","0","0","0"
"2","80","0","0","0","0"
"3","120","0","0","0","0"
"4","160","0","0","0","0"
"5","200","0","0","0","0"
"6","240","0","0","0","0"
"7","280","0","0","0","0"
"8","320","0","0","0","0"
"9","360","0","0","0","0"
"10","400","0","0","0","0"
"11","880","0","0","0","0"
"12","960","0","0","0","0"
"13","1040","0","0","0","0"
"14","1120","0","0","0","0"
"15","1200","0","0","0","0"
"16","1280","0","0","0","0"
"17","1360","0","0","0","0"
"18","1440","0","0","0","0"
"19","1520","0","0","0","0"
"20","1600","0","0","0","0"
"21","2520","0","0","0","0"
"22","2640","0","0","0","0"
"23","2760","0","0","0","0"
"24","2880","0","0","0","0"
"25","3000","0","0","0","0"
"26","3120","0","0","0","0"
"27","3240","0","0","0","0"
"28","3360","0","0","0","0"
"29","3480","0","0","0","0"
"30","3600","0","0","0","0"
"31","4960","0","0","0","0"
"32","5120","0","0","0","0"
"33","5280","0","0","0","0"
"34","5440","0","0","0","0"
"35","5600","0","0","0","0"
"36","5760","0","0","0","0"
"37","5920","0","0","0","0"
"38","6080","0","0","0","0"
"39","6240","0","0","0","0"
"40","6400","0","0","0","0"
"41","8200","0","0","0","0"
"42","8400","0","0","0","0"
"43","8600","0","0","0","0"
"44","8800","0","0","0","0"
"45","9000","0","0","0","0"
"46","9200","0","0","0","0"
"47","9400","0","0","0","0"
"48","9600","0","0","0","0"
"49","9800","0","0","0","0"
"50","10000","0","0","0","0"
